Size,Nama Gambar,Mean Red,Variance Red,Standar Deviation Red,Skewness Red,Kurtosis Red,Mean Green,Variance Green,StandarDeviation Green,Skewness Green,Kurtosis Green,Mean Blue,Variance Blue,Standar Deviation Blue,Skewness Blue,Kurtosis Blue,Mean Hue,Variance Hue,Standar Deviation Hue,Skewness Hue,Kurtosis Hue,Mean Saturation,Variance Saturation,Standar Deviation Saturation,Skewness Saturation,Kurtosis Saturation,Mean Value,Variance Value,Standar Deviation Value,Skewness Value,Kurtosis Value,Tingkat Kematangan
6,  SC 0.1.JPG, 28.91095016, 763.44433616, 27.63049616, 1.61504316, 2.49038116, 34.56718616, 954.54356016, 30.89568816, 1.42700516, 1.82030016, 24.43911116, 578.50829416, 24.05219916, 1.95164716, 4.62173616,  52.87565616, 420.20381016, 20.49887316, 0.32034316, 0.51837416, 85.16783916, 1830.50024416, 42.78434616, 0.62035116, 0.13263916, 34.90519716, 967.73901016, 31.10850416, 1.40781816, 1.73711116, 0
6,  SC 0.10.JPG, 37.16955016, 1122.27468016, 33.50036816, 1.41436016, 1.79081916, 45.97800016, 1597.63443816, 39.97042016, 1.23831716, 1.07739716, 37.81171516, 1117.76957016, 33.43306116, 1.43404216, 1.83443216,  68.71182016, 746.03177516, 27.31358216, -0.24517116, 0.33371616, 67.29210616, 1101.25755416, 33.18520116, 0.69188116, 1.18592516, 46.44019916, 1590.81115416, 39.88497416, 1.22852916, 1.05819116, 0
6,  SC 0.11.JPG, 28.67423316, 715.14672916, 26.74222716, 1.54546016, 2.38334716, 37.60352916, 990.53059216, 31.47269616, 1.30359616, 1.47558816, 26.37785216, 637.02083116, 25.23927216, 1.70265216, 3.04279816,  58.65623716, 387.63001516, 19.68832216, -0.23775516, 0.63196716, 95.94305616, 1658.98637916, 40.73065716, 0.62219016, 0.78383916, 37.82621416, 998.12827516, 31.59316816, 1.28862816, 1.41065116, 0
6,  SC 0.12.JPG, 35.84374416, 967.33459716, 31.10200316, 1.38279916, 1.88889916, 47.64461516, 1314.57738116, 36.25710116, 1.16484316, 1.10047516, 33.82100516, 983.65329716, 31.36324816, 1.54951216, 2.40654116,  59.38904716, 257.77163316, 16.05526816, -0.04863216, -0.20187616, 102.12671516, 1838.31745716, 42.87560416, 0.96190316, 0.81303616, 47.78878216, 1317.81614916, 36.30173816, 1.15736716, 1.07670916, 0
6,  SC 0.13.JPG, 29.84242216, 746.14060416, 27.31557416, 1.41376616, 1.74649216, 39.81544716, 1040.63942116, 32.25894316, 1.17930716, 1.05683216, 26.17689616, 598.38692216, 24.46194816, 1.65966016, 3.02052916,  57.30936416, 273.50341216, 16.53793916, -0.08399216, 0.22998416, 104.15225316, 1668.40996016, 40.84617416, 0.56764816, 0.27040516, 39.89555716, 1042.92025016, 32.29427616, 1.17377316, 1.03675616, 0
6,  SC 0.14.JPG, 32.19053916, 919.34105516, 30.32063716, 1.54875216, 2.32949216, 41.62681216, 1286.74873816, 35.87128016, 1.28592816, 1.31339116, 29.61534616, 817.15515316, 28.58592616, 1.73433516, 3.30611116,  58.24355716, 428.34151716, 20.69641316, 0.11192316, 0.75941316, 90.39476016, 1680.51009916, 40.99402516, 0.54095616, 0.27456216, 41.81327016, 1289.42241116, 35.90852816, 1.27785016, 1.28697716, 0
6,  SC 0.15.JPG, 34.35729016, 729.18012116, 27.00333516, 1.34669016, 2.09649016, 44.33132516, 1053.70169416, 32.46077216, 1.07327016, 0.91403916, 34.25778416, 856.59567716, 29.26765616, 1.34173516, 1.80021916,  62.12970816, 466.97474016, 21.60959816, -0.01752216, -0.06404716, 85.57915816, 2046.89087116, 45.24257816, 1.18487816, 1.56032516, 44.66723716, 1057.72355616, 32.52266216, 1.05771316, 0.87541716, 0
6,  SC 0.16.JPG, 33.35398616, 1111.46930116, 33.33870616, 1.65892916, 2.78144416, 41.22431716, 1451.98882316, 38.10497116, 1.43044816, 1.76782816, 28.60593916, 876.05881316, 29.59829116, 1.85763616, 3.69138016,  54.01636416, 399.10899916, 19.97771316, 0.03886016, 0.46602816, 90.15128116, 1850.15071216, 43.01337816, 0.61592316, 0.34531516, 41.44284216, 1455.58297816, 38.15210316, 1.41876216, 1.73175416, 0
6,  SC 0.17.JPG, 34.94437816, 1020.51486516, 31.94549816, 1.46804016, 2.04594316, 43.16632316, 1322.93739016, 36.37220616, 1.26154016, 1.22063316, 30.11229416, 831.12993016, 28.82932416, 1.65900616, 2.94555916,  54.44583516, 347.43054816, 18.63948916, 0.23010516, 0.65452816, 90.64391516, 2068.36441416, 45.47927516, 0.62902616, 0.02890916, 43.40906416, 1329.68704816, 36.46487416, 1.24633416, 1.17200816, 0
6,  SC 0.18.JPG, 32.32767116, 934.69609516, 30.57280016, 1.48459016, 2.02544216, 41.15540116, 1265.07442716, 35.56788516, 1.26941116, 1.20918716, 29.17122116, 789.77939716, 28.10301416, 1.67416216, 2.86011116,  58.07777816, 368.69227116, 19.20136116, -0.12026216, 0.63881616, 89.31799316, 1534.89883816, 39.17778516, 0.63215316, 0.52588516, 41.35729016, 1270.91789616, 35.64993516, 1.25865016, 1.17306816, 0
6,  SC 0.19.JPG, 33.80339716, 845.00791416, 29.06902016, 1.24988116, 1.17599316, 43.80040416, 1166.38591616, 34.15239316, 1.01845316, 0.42613416, 31.95471716, 765.71858216, 27.67162116, 1.36146616, 1.65271116,  60.67555516, 373.68385516, 19.33090416, -0.06248516, 0.98174816, 87.93361116, 1401.04768016, 37.43057116, 0.78280816, 0.92790616, 43.96742716, 1168.96014616, 34.19005916, 1.01056516, 0.40598916, 0
6,  SC 0.2.JPG, 29.22264516, 772.41089516, 27.79228116, 1.56640216, 2.39051716, 35.97337416, 996.92197616, 31.57407116, 1.35941716, 1.62709316, 25.09725216, 615.49135816, 24.80909816, 1.80885016, 3.75767216,  53.97073116, 399.96139916, 19.99903516, 0.10987116, 0.17335116, 90.91110516, 1946.67448116, 44.12113416, 0.60294216, 0.16189116, 36.23104116, 1005.07644816, 31.70294116, 1.34018716, 1.55113816, 0
6,  SC 0.20.JPG, 39.78271916, 722.50880016, 26.87952416, 1.05793316, 1.13958316, 48.85727116, 964.55305516, 31.05725416, 0.95878816, 0.91434616, 37.27018316, 766.26031916, 27.68140716, 1.23555116, 1.70737616,  57.79212516, 343.55866816, 18.53533616, 0.26122716, 0.10355516, 79.40696516, 1554.99965316, 39.43348416, 1.26470616, 1.64352716, 49.04400016, 966.61121816, 31.09037216, 0.95100616, 0.89299016, 0
6,  SC 0.3.JPG, 32.37252716, 904.09786616, 30.06822016, 1.28449216, 1.02065216, 42.44692316, 1224.10259216, 34.98717816, 1.03695516, 0.29397816, 29.58238416, 771.28256016, 27.77197416, 1.46514116, 1.91562816,  59.65895816, 347.82592316, 18.65009216, -0.26095616, 0.60300916, 97.11540416, 1640.48979116, 40.50296016, 0.62331216, 0.64148216, 42.58238416, 1227.14480016, 35.03062716, 1.03204916, 0.28466416, 0
